"navn","komnr","år","gjerningssted","g_komnr","alt","eiendomstyveri","vold_mishandling","rusmidler","orden_integritet","trafikk","annet"
"Halden",3101,"2020-2021","3001 Halden (2020-2023)",3001,3116,369,359,628,464,531,767
"Moss",3103,"2020-2021","3002 Moss (2020-2023)",3002,2914,832,392,410,330,404,548
"Sarpsborg",3105,"2020-2021","3003 Sarpsborg (2020-2023)",3003,3314,801,500,527,345,543,599
"Fredrikstad",3107,"2020-2021","3004 Fredrikstad (2020-2023)",3004,4471,1231,572,722,513,684,750
"Drammen",3301,"2020-2021","3005 Drammen (2020-2023)",3005,5404,2029,588,649,532,634,973
"Kongsberg",3303,"2020-2021","3006 Kongsberg (2020-2023)",3006,998,247,143,117,103,144,245
"Ringerike",3305,"2020-2021","3007 Ringerike (2020-2023)",3007,1445,276,218,200,183,272,297
"Hvaler",3110,"2020-2021","3011 Hvaler (2020-2023)",3011,214,46,25,20,10,27,88
"Aremark",3124,"2020-2021","3012 Aremark (2020-2023)",3012,75,17,7,6,18,14,15
"Marker",3122,"2020-2021","3013 Marker (2020-2023)",3013,543,15,10,120,79,130,189
"Indre Østfold",3118,"2020-2021","3014 Indre Østfold (2020-2023)",3014,2214,468,306,260,302,456,422
"Skiptvet",3116,"2020-2021","3015 Skiptvet (2020-2023)",3015,111,22,17,6,11,10,47
"Rakkestad",3120,"2020-2021","3016 Rakkestad (2020-2023)",3016,238,45,42,18,21,52,62
"Råde",3112,"2020-2021","3017 Råde (2020-2023)",3017,348,66,35,43,28,106,72
"Våler (Viken)",3114,"2020-2021","3018 Våler (Viken) (2020-2023)",3018,171,38,26,18,15,38,37
"Vestby",3216,"2020-2021","3019 Vestby (2020-2023)",3019,794,177,111,89,72,186,160
"Nordre Follo",3207,"2020-2021","3020 Nordre Follo (2020-2023)",3020,2743,859,324,277,237,624,423
"Ås",3218,"2020-2021","3021 Ås (2020-2023)",3021,1079,347,112,105,86,280,150
"Frogn",3214,"2020-2021","3022 Frogn (2020-2023)",3022,647,152,83,66,62,162,124
"Nesodden",3212,"2020-2021","3023 Nesodden (2020-2023)",3023,604,160,117,60,61,63,145
"Bærum",3201,"2020-2021","3024 Bærum (2020-2023)",3024,5759,2312,583,460,474,648,1283
"Asker",3203,"2020-2021","3025 Asker (2020-2023)",3025,3644,1101,421,422,413,544,744
"Aurskog-Høland",3226,"2020-2021","3026 Aurskog-Høland (2020-2023)",3026,557,95,86,61,53,114,149
"Rælingen",3224,"2020-2021","3027 Rælingen (2020-2023)",3027,819,113,67,97,51,380,111
"Enebakk",3220,"2020-2021","3028 Enebakk (2020-2023)",3028,349,68,49,40,35,64,94
"Lørenskog",3222,"2020-2021","3029 Lørenskog (2020-2023)",3029,1918,506,247,344,223,170,429
"Lillestrøm",3205,"2020-2021","3030 Lillestrøm (2020-2023)",3030,4505,1375,526,623,426,780,775
"Nittedal",3232,"2020-2021","3031 Nittedal (2020-2023)",3031,734,188,96,66,52,178,154
"Gjerdrum",3230,"2020-2021","3032 Gjerdrum (2020-2023)",3032,169,24,27,9,19,18,72
"Ullensaker",3209,"2020-2021","3033 Ullensaker (2020-2023)",3033,4486,1312,342,678,464,698,993
"Nes",3228,"2020-2021","3034 Nes (2020-2023)",3034,652,145,98,72,64,113,161
"Eidsvoll",3240,"2020-2021","3035 Eidsvoll (2020-2023)",3035,1254,282,174,183,104,276,238
"Nannestad",3238,"2020-2021","3036 Nannestad (2020-2023)",3036,466,86,80,63,34,97,107
"Hurdal",3242,"2020-2021","3037 Hurdal (2020-2023)",3037,97,15,9,13,11,27,24
"Hole",3310,"2020-2021","3038 Hole (2020-2023)",3038,278,31,30,21,22,140,35
"Flå",3320,"2020-2021","3039 Flå (2020-2023)",3039,71,18,6,NA,10,18,15
"Nesbyen",3322,"2020-2021","3040 Nesbyen (2020-2023)",3040,106,16,9,NA,NA,47,25
"Gol",3324,"2020-2021","3041 Gol (2020-2023)",3041,233,39,22,22,17,85,49
"Hemsedal",3326,"2020-2021","3042 Hemsedal (2020-2023)",3042,130,66,8,13,6,24,14
"Ål",3328,"2020-2021","3043 Ål (2020-2023)",3043,142,27,15,9,16,46,31
"Hol",3330,"2020-2021","3044 Hol (2020-2023)",3044,198,54,27,15,15,30,58
"Sigdal",3332,"2020-2021","3045 Sigdal (2020-2023)",3045,106,17,14,12,9,23,32
"Krødsherad",3318,"2020-2021","3046 Krødsherad (2020-2023)",3046,90,33,8,8,NA,16,21
"Modum",3316,"2020-2021","3047 Modum (2020-2023)",3047,498,106,73,57,46,98,119
"Øvre Eiker",3314,"2020-2021","3048 Øvre Eiker (2020-2023)",3048,849,242,86,115,65,158,184
"Lier",3312,"2020-2021","3049 Lier (2020-2023)",3049,1011,302,105,106,68,267,164
"Flesberg",3334,"2020-2021","3050 Flesberg (2020-2023)",3050,76,12,13,10,6,18,17
"Rollag",3336,"2020-2021","3051 Rollag (2020-2023)",3051,42,9,6,NA,NA,14,7
"Nore og Uvdal",3338,"2020-2021","3052 Nore og Uvdal (2020-2023)",3052,108,22,10,11,8,32,27
"Jevnaker",3236,"2020-2021","3053 Jevnaker (2020-2023)",3053,195,41,33,17,22,33,49
"Lunner",3234,"2020-2021","3054 Lunner (2020-2023)",3054,438,60,28,77,23,184,67
"Oslo",301,"2020-2021","0301 Oslo",301,59734,22254,7664,4857,7493,4683,12784
"Kongsvinger",3401,"2020-2021","3401 Kongsvinger",3401,1137,229,147,165,154,194,249
"Hamar",3403,"2020-2021","3403 Hamar",3403,1702,554,197,241,164,145,403
"Lillehammer",3405,"2020-2021","3405 Lillehammer",3405,1090,379,120,153,76,116,247
"Gjøvik",3407,"2020-2021","3407 Gjøvik",3407,1350,352,173,206,130,215,276
